id	name	type
23293124	Appresso T. Ancelin	Publisher
15241041	Dichiarationi sopra la legge de rescritti di Sua Eccell. Illust. et decreti de sua magistrati›Dichiarationi sopra la legge de rescritti di Sva Eccell. Illvst. et decreti de sua magistrati	Edition
15241433	Legge sopra la cognitione et prescriptione de' malefitij : fermata il di xxii di settemb. MDLXII›Legge sopra la cognitione et prescriptione de' malefitii	Edition
15241448	Bando dell'illustriss. et eccell. s. duca di Fiorenza, e di Siena, et per S.E.I. li m.s. Consig., sopra i Legati ad pias causas : pubblicato il dì 22 d'aprile 1562›Bando dell'illvstriss. et eccell. s. dvca di Fiorenza, e di Siena	Edition
15241836	Prouisioni fermate da molto magnifici s. Luogo tenente e Consiglieri dell'illustr. & eccell. sig. il sig. principe di Firenze e Siena, N.S., il di X d'ottobre MDLXVII concernenti le cause, e casi, ne quali non è lecito supplicare a S.E.I. e supplicandosi proporne e informare & il modo e forma da tenersi & osseruarsi nel fare l'innentarij i.e. inventarij per quel che concerne l'interesse del Fisco›Provisioni fermate da molto magnifici s. Luogotenente e Consiglieri dell'illustr. & eccell. sig. il sig. principe di Firenze e Siena, N.S., il di X d'ottobre MDLXVII concernenti le cause, e casi, ne quali non è lecito supplicare a S.E.I. e supplicandosi proporne e informare & il modo e forma da tenersi & osservarsi nel fare l'innentarii i.e. inventarii per quel che concerne l'interesse del Fisco	Edition
12620557	Nuova proposizione intorno alla caruncola dell'uretra detta carnosità	Edition
12620558	Dei bagni di Pisa	Edition
22594381	G. Gugliantini	Publisher
32992834	Vincenzo da Filicaia	Person
12621980	Saggi di naturali esperienze›Essayes of natural experiments, made in the Academie del cimento, under the protection of the most serene Prince Leopold of Tvscany	Edition
19274116	Egisto›L'Egisto : favola dramatica musicale	Edition
17603643	Mondo e sue parti›Prospectus Mundi : Weltblick oder kleine Cosmographia in welcher kurtzer vnnd klärlicher Weise alle vier Haupttheile der Welt ...	Edition
10526032	Ricerche istorico-critiche circa alle scoperte d'Amerigo Vespucci con l'aggiunta di una relazione del medesimo fin ora inedita	Edition
31235787	Giovanni Francesco Pagnini	Person
13934481	Apologia del reuer. padre fra Tommaso Neri fiorentino dell'ordine de' Frati predicatori, in defesa della dottrina del R.P.F. Girolamo Sauonarola da Ferrara del medesimo ordine	Edition
4235229	Colonia i.e. Venice? or Florence?	Place
19274432	Le nozze degli dei : favola	Edition
12624322	Le sei giornate di Messer Sebastiano Erizzo	Edition
15245920	Prouuisioni concernenti l'amministrazioni della buona giustizia, nelle cause criminali dello Stato›Provvisioni concernenti l'amministrazioni della buona giustizia	Edition
23250390	F. Onofri, stampatore granducale	Publisher
21125671	Per Filippo e Iacopo Giunti e fratelli	Publisher
15246329	Ordinazioni sopra le bandite, paschi, bestiami, lauoreccie & altro per lo Stato e Dominio fiorentino›Ordinationi sopra le bandite et paschi, bestiami lavoreccie, & altro per lo Stato & Dominio fiorentino	Edition
11314559	Il microcosmo di Gioseppe Rosaccio, cosmografo : nel quale sitratta vreuemente dell'anima, vegetabile, sensible, & rationale, dell'huomo sua complessione & fisionomia : delle infirmità, che nascono in tutte le parti del corpo, & loro cura	Edition
15246734	Bando sopra la proibitione del comperare cose rubate : bandito ... questo di 10 d'aprile 1569›Bando sopra la proibitione del comperare cose rvbate	Edition
15247148	Ordinationi sopra le bandite et paschi, bestiami lauoreccie, & altro per lo Stato & Dominio fiorentino›Ordinationi sopra le bandite et paschi, bestiami lavoreccie, & altro per lo Stato & Dominio fiorentino	Edition
27568887	Per Gaetano Cambiagi ...	Publisher
5031763	Ristampati in Firenze	Place
15248800	Bando et ordine di perseguitare chi commettessi delitti graui nella città di Firenze›Bando et ordine di persegvitare chi commettessi delitti gravi nella città di Firenze	Edition
15250031	Deliberatione fatta d'ordine di S.A. Serenissima,et per partito delli molto magnifici, & clariss. signiori Luogotenente, & Consiglieri della Republica fiorentina, sopra l'essentioni, et priuilegij di nuouo concessi, a tutti quelli che andaranno ad habitare & habitassino nella terra di Liuorno & suo capitaneato, questo di 12 di febbraio 1591 in Firenze›Sopra l'essentioni, et priuilegij di nuouo concessi›Sopra l'essentioni, et privilegij di nuovo concessi	Edition
32027611	Leonardo Bruni	Person
10007814	Trattato di Piero sic Vettori delle lodi e della coltivazione degli ulivi›Trattato di Piero Vettori delle lodi e della coltivazione degli ulivi›Trattato di Pietro Vettori delle lodi e della coltivazione degli ulivi	Edition
10007890	Prosopopoeiæ botanicæ Tovrnefortiana methodo dispositæ a d. Virgilio Falugi	Edition
15250899	Prouuisioni, et ordinationi, a beneficio de' vergari, et faccendieri, et per l'agumento del bestiame d'ogni sorte, & per le semente della maremma, e stato di Siena›Provvisioni, et ordinationi, a beneficio de' vergari, et faccendieri, et per l'agumento del bestiame d'ogni sorte, & per le semente della maremma, e stato di Siena	Edition
30722314	Jacopo Nardi	Person
30979904	Donato Rossetti	Person
14989315	Discorso del reuerendo m. Francesco de Cattani da Diacceto ... sopra la superstizzione dell'arte magica	Edition
16038288	Historia d'Italia›Francisci Guicciardini, patricii Florentini : Historiarum sui temporis libri viginti›Historiarum sui temporis libri viginti	Edition
21440109	Presso Euangelista Deuchino	Publisher
21440110	Apresso Francesco Tosi	Publisher
21405199	per Costantino Pisarri	Publisher
31421688	None	Person
29261371	Pe'l Costantini Stamp. Cam. Epis. e del S. Off.	Publisher
31507208	Lodovico Domenichi	Person
20979904	All'insegna della Stella	Publisher
139465	Gorizia	Place
21546381	None	Publisher
20498038	Appresso Nicolò Beuilacqua	Publisher
20498039	Printed for Z. Stuart	Publisher
30727915	Vincenzio Martinelli	Person
33867413	1444-1504 Pandolfo Collenuccio	Person
27576219	Ad instanza di Filippo Giunti	Publisher
20498338	Chez Paul & Isaac Vaillant	Publisher
23644253	Appresso Giuseppe Manni all' Inf. di S. Gio di Dio	Publisher
29226538	Nella stamperia già Albizziniana da S.M. in campo	Publisher
23644528	Nella stamperia di Piero Matini	Publisher
