source	target
10316170	6778
10316175	316175
10316190	530
10316631	530
10316787	530
10316915	316915
10317093	317093
10317104	282
10317105	7427
10317107	16081
10317108	16081
10317119	6571
10317242	6718
10317423	3
10317548	23
10317562	6778
10317566	530
10317567	530
10317568	6718
10317711	3
10317864	14399
10318169	6579
10318340	530
10318474	530
10319102	319102
10319247	6718
10319248	8712
10319256	530
10319260	130062
10319573	530
10319870	6571
10320163	3
10320471	530
10320474	13991
10320915	14399
10321078	321078
10321243	162
10321244	604
10321380	530
10321982	52052
10321998	23
10322274	23
10322285	322285
10322416	3
10322425	322425
10322428	530
10322430	90542
10322559	530
10326025	6909
10326500	98789
10326646	1965
10326976	530
10327105	530
10329278	5889
10330467	164432
10331084	331084
10336441	530
10348305	530
10350711	350711
10356050	14355
10356369	6687
10356381	23326
10356382	94801
10356534	98692
10356897	6613
10356899	530
10356903	213858
10356905	530
10357043	530
10357049	8851
10357051	530
10357069	530
10357071	6571
10357214	357214
10357532	530
10357585	6542
10357752	51653
10357765	6571
10357766	6613
10357767	357767
10357920	7
10357921	7
10358458	358458
10358461	221570
10358466	3
10358469	8519
10358470	358470
10358471	6572
10358628	530
10358640	165585
10359331	6613
10359332	217168
10359333	359333
10359507	14311
10359875	530
10360055	6571
10360059	114360
10360081	530
10360409	530
10360577	530
10360581	6613
10360745	14311
10360746	94117
10360747	14214
10360748	14311
10360752	360752
10360753	14311
10368229	6613
10368230	6613
10368231	6613
10368232	8446
10368234	6613
10368235	15080
10368236	12901
10368237	236445
10368239	6778
10368240	13292
10368242	9390
10368405	530
10368406	530
10368408	530
10368409	530
10368410	530
10368576	286
10368577	3
10368579	368578
10368582	3
10368583	368578
10368585	3
10368721	3
10368722	8028
10368723	368723
10368724	368724
10368725	368724
10368727	368727
10368732	368732
10368733	368733
10368734	1228
10368735	3
10368736	368736
10368737	219640
10368738	8520
10368739	368739
10368740	368740
10368882	139752
10368883	8520
10368884	368732
10368885	1228
10368886	6778
10368887	3
10368888	368888
10368889	14838
10368890	8520
10368891	368891
10368892	368892
10368893	155071
10368894	13646
10368895	26665
10368896	368896
10368897	3
10368898	1228
10368899	14838
10368900	368900
10368901	2
10368902	368902
10368903	6900
10369042	369042
10369043	369042
10369044	530
10369045	530
10369046	164415
10369047	13
10369048	18560
10369049	6
10369055	369055
10369056	14720
10369057	6571
10369058	369058
10369062	8712
10369067	7976
10369221	9003
10369224	6571
10369226	530
10369228	6542
10369229	14720
10369231	19127
10369234	6571
10369376	6778
10369377	530
10369378	8449
10369383	530
10369389	271062
10369394	530
10369549	14720
10369550	18380
10369552	369058
10369554	6639
10369555	8519
10369561	6613
10369562	369562
10369570	530
10369718	530
10369720	369720
10369724	6687
10369740	9390
10369741	369741
10369888	530
10369899	14216
10369910	10613
10377466	322425
10377624	530
10377644	37430
10377825	530
10378150	6609
10378156	3
10378167	530
10378518	6783
10378519	378519
10378660	530
10378666	530
10378834	378834
10378853	13292
10378860	530
10379012	530
10379037	530
10379545	530
10379726	530
10379737	530
10379907	6613
10379913	6613
10380254	530
10380255	530
10380412	6613
10380429	3
10380581	14399
10380584	164415
10380601	18714
10381300	3
10381453	530
10381454	13991
10381468	108381
10381641	6718
10381778	6533
10381964	381964
10381974	6718
10382298	12901
10382491	6571
10382631	530
10382638	530
10383164	6
10383842	530
10384196	530
10384364	236445
10384365	6613
10384538	530
10384546	6718
10384547	530
10384931	13
10384938	384938
10385086	22535
10385480	13646
10385551	6783
10385691	6778
10385695	13
10386134	386134
10386155	530
10386287	22535
10386298	13991
10386300	7
10386334	116149
10386484	530
10386493	530
10386495	530
10386879	386879
10386884	386884
10386887	6613
10386940	530
