id	name	type
11753803	L'arithmetique	Edition
33428137	Conrad von Einsiedel	Person
20583401	Apud A. Arriuabenum	Publisher
21998	Leyde	Place
15078690	Tractatus de servitiis feudalibus›Andreae Kohl, jc. Tractatus duo : quorum prior de servitiis feudalibus, in partes octo distributus, continens diligentem explanationem singulorum, ad quae dominis vasalli teneri solent, alter de subfeudis, quinque capitibus succinctè compraehensus	Edition
23206295	Sumptibus Orphanotropii	Publisher
23468654	Imprimebat Paulus Egenolphus, typogr. academicus	Publisher
22945838	For Edward Aggas	Publisher
15607033	Tractatus tres›Herm. Vulteii, i.v.d. ... Tractatus tres	Edition
15607460	Disceptationum juris scholasticarum liber unus›Hermanni Vulteii i.c. Disceptationum juris scholasticarum liber unus	Edition
12725096	La via de François, seignevr de La Nouë, dit Bras-de-fer. Ou sont contenuës, quantité de choses memorables, qui servent à l'éclaircissement de celles qui se sont passées en France & au Pays-Bas, depuis le commencement des troubles survenus pour la religion, jusques à l'an 1951	Edition
17968856	Elucidatio fabricae ususque astrolabii›Elvcidatio fabricae vsvsqve astrolabii	Edition
11416518	Rome moderne, premiére ville de l'Europe, avec toutes ses magnificences et ses delices : nouvellement & très-exactement décrite, & illustrée par des tailles douces, qui réprésentent parfaitement tout ce qui y est digne d'être vû & sçû	Edition
31656421	Khan of Khorezm, Ebülgâzî Bahadir Han	Person
13781512	Selecta feudalia Thomasiana	Edition
24005623	Per Nicolò Angelo Tinassi, stampator ...	Publisher
33672923	M A V. N	Person
17166312	Quaestio an princeps legibus sit solutus	Edition
11426411	Flora cochinchinensis: sistens plantas in regno Cochinchina nascentes. Quibus accedunt aliæ observatæ in Sinensi imperio, Africa Orientali, Indiæque locis variis. Omnes dispositæ secundum systema sexuale Linnæanum. Labore	Edition
11164298	Paraphrasis in titulos Institutionum imperialium de actionibus, exceptionibus, et interdictis›Petri Plateani Angolismaei, in summo tributorum vectigaliúmque tribunali regij patroni, Paraphrasiis sic in titulos Institutionum imperialium de actionibus, exceptionibus, & interdictis : quibus potior iuris pars continetur, praesertim quae in foro quotidie magis versatur : scolijs seorsum margini adpositis, per quae lector intelligat quid pontificum decretis, principum nostrorum constitutionibus, vsúue à Iustiniani praeceptis detractum sit, & quatenùs quae ab eo tradita sunt sequi oporteat›Paraphrasis in titulos Institutionum imperialium de actionibus, exceptionibus, et interdictis	Edition
17720642	De rebus gestis Joannis II. Lusitanorum regis, optimi principis nuncupati : ad augustissimum regem Petrum II.	Edition
13266117	Tractatus de testibus D. Hortensij Caualcani ... nunc in lucem editus : in quo fere tota continetur materia testium	Edition
