id	names
100940199	Cervin, Neil
100940199	1961-
100951303	Andrés, Ana
100951303	Andrés Álvarez
100967297	ba0yba0y
100967297	fre   
100967297	 0 
100967297	Duboc
100967297	Hubert
100967297	Duboc, Hubert
100967297	Duboc, Hubert
100967297	Duboc, Hubert
100967297	Duboc, Hubert
100982838	Jacobi, Johannes 1951-....
100982838	ba0yba0y
100982838	fre   
100982838	 0 
100982838	Jacobi
100982838	Johannes
100982838	1951-....
100982838	Jacobi, Johannes
100982838	Jacobi, Johannes
100982838	Jacobi, Johannes
100982838	Jacobi, Johannes
100982838	Jacobi, Johannes
100982838	1951-
100982838	Jacobi, Johannes
100982838	1951-
100982838	Jacobi, Johannes.
100998000	Halle, Axel
