20000071	L'auteur	Publisher
20000072	A. Michel	Publisher
20000073	Dekker & van de Vegt n.v.	Publisher
20000074	Bompiani	Publisher
20000075	Éditions de la Liberté	Publisher
20000076	Magi-Spinetti editori	Publisher
20000077	Jouve et cie	Publisher
20000078	E. Droz	Publisher
20000079	J. Haan	Publisher
20000080	J. Vermaut	Publisher
20000081	Éditions ouvrières	Publisher
20000082	R. Julliard	Publisher
20000083	Deutscher volksverlag	Publisher
20000084	Droz	Publisher
20000085	G. Grote	Publisher
20000086	A.J.G. Strengholt	Publisher
20000087	Schaffer	Publisher
20000029	A. Kraft	Publisher
20000089	Société d'éditions géographiques, maritimes et coloniales	Publisher
20000090	Uitgeverij 't Groeit	Publisher
20000091	X. Mappus	Publisher
20000092	Denoël	Publisher
20000093	Institut national d'étude du travail et d'orientation professionnelle	Publisher
20000061	Hachette	Publisher
20000095	N.v. Standaard-boek-handel	Publisher
20000096	Lühe	Publisher
20000043	Aubier, Éditions Montaigne	Publisher
20000098	"Verlag ""Officium libri catholici,"""	Publisher
20000099	Stamperia moderna	Publisher
30000000	Gottfried Neesse	Person
30000001	Wilhelm Alexander von Tayenthal	Person
30000002	Mario Praz	Person
30000003	Jean Lescure	Person
30000004	Benedetto Croce	Person
30000005	Christian Reuter	Person
30000006	Clarice Tartufari	Person
30000007	Albrecht Timm	Person
30000008	Karl Schwantag	Person
30000009	gräfin von, Gertrud Smalian Podewils-Dürniz	Person
30000010	Frits Kuiper	Person
30000011	Köhler Rudolf, 1902-	Person
30000012	Maarten van Rhijn	Person
30000013	Kornelis Sietsma	Person
30000014	Gerard Vranken	Person
30000015	Jan van Ruusbroec	Person
30000016	Feliciano Lepore	Person
30000017	Sergio Bettini	Person
30000018	Adrien Jean J, Delen	Person
30000019	Heinrich Schnee	Person
30000020	Giorgio Vigni	Person
30000021	Pindar	Person
30000022	Hanswerner Nachrodt	Person
30000023	Josef Friedrich Papesch	Person
30000024	Franz zur Nedden	Person
30000025	Walther Kegel	Person
30000026	Alwin Rüffer	Person
30000027	Fritz Martin Rintelen	Person
30000028	Wera von Landesen	Person
30000029	Hans Watzlik	Person
30000030	Henry de Rycker	Person
30000031	Édouard Remise	Person
30000032	Peter Purzelbaum	Person
30000033	Sofie von Uhde	Person
30000034	Stefan Sturm	Person
30000035	Adalbert Stifter	Person
30000036	Heinz Steguweit	Person
30000037	William Shakespeare	Person
30000038	Carl Schmitt	Person
30000039	Wilhelm Schloz	Person
30000040	Angelus Silesius	Person
30000041	Anton Friedrich Tüdel Weller	Person
30000042	Hans Reiser	Person
30000043	Jean Paul	Person
30000044	Marc Roland	Person
30000045	Alard von Schack	Person
30000046	Jacques Rueff	Person
30000047	Heinrich Schaumberger	Person
30000048	Albert Hermann Hesse	Person
30000049	Jan Vixseboxse	Person
30000050	None	Person
30000051	Henricus Johannes J, M, van Straelen	Person
30000052	Ferdinand von Saar	Person
30000053	Felix Riemkasten	Person
30000054	Rainer Maria Rilke	Person
30000055	Friedrich Ernst Peters	Person
30000056	Jehanne d' Orliac	Person
30000057	Giancarlo Ottani	Person
30000058	André Nolde	Person
30000059	Hermann Moos	Person
30000060	R de Maeyer	Person
30000061	Jules Mazé	Person
30000062	Leo Moenke	Person
30000063	Arturo Labriola	Person
30000064	Ernst Rudolf Huber	Person
30000065	Jacques Leclercq	Person
30000066	Ernst Friedrich Löhndorff	Person
30000067	Ernst Kienitz	Person
